epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.174,0.80484,3.56937,1.20629,0.82832,0.83397,0.89124,0.72775,0.56448,5.48922,0.98386,0.00026,0.00026,0.00026
2,540.565,0.45622,1.09717,0.94603,0.84428,0.92593,0.93628,0.84716,0.48929,5.11493,1.00953,0.00053109,0.00053109,0.00053109
3,789.784,0.43134,0.69173,0.93194,0.63412,0.80247,0.77058,0.45653,0.99695,5.37742,1.53208,0.00079294,0.00079294,0.00079294
4,1034.95,0.55787,0.67698,0.96506,0.5719,0.88889,0.75442,0.52575,1.08498,6.74871,1.67896,0.00104555,0.00104555,0.00104555
5,1285.01,0.51446,0.56078,0.96656,0.29769,0.20988,0.1842,0.10424,1.21026,3.73677,2.02374,0.00128892,0.00128892,0.00128892
6,1534.65,0.55597,0.5109,0.96784,0.13778,0.24691,0.04756,0.02045,3.59835,6.99368,17.0314,0.00152305,0.00152305,0.00152305
7,1783.18,0.58707,0.53898,0.99098,0.12886,0.30864,0.07796,0.0232,2.85667,8.98254,3.80571,0.00174794,0.00174794,0.00174794
8,2033.88,0.4888,0.52566,0.95368,0.35216,0.50617,0.45756,0.26974,1.22123,5.50861,1.653,0.001769,0.001769,0.001769
9,2281.51,0.484,0.45152,0.93887,0.37034,0.62963,0.46448,0.34765,0.815,3.12207,1.38287,0.001736,0.001736,0.001736
10,2525.8,0.47544,0.45447,0.94321,0.54758,0.67245,0.74184,0.49435,0.85542,2.77681,1.38749,0.001703,0.001703,0.001703
11,2775.01,0.4622,0.43761,0.93656,0.84833,0.89771,0.94069,0.79953,0.57544,1.10127,1.11676,0.00167,0.00167,0.00167
12,3021.25,0.4812,0.47517,0.93486,0.90658,0.90123,0.95854,0.77529,0.55093,1.81065,1.08981,0.001637,0.001637,0.001637
13,3267.53,0.41877,0.40848,0.91153,0.03247,0.95062,0.03561,0.02949,0.59979,31.3859,1.1163,0.001604,0.001604,0.001604
14,3513.94,0.43519,0.38894,0.93089,0.51723,0.87654,0.55301,0.43467,0.64181,1.60759,1.1511,0.001571,0.001571,0.001571
15,3764.71,0.42596,0.37966,0.9199,0.93779,1,0.99159,0.89589,0.45864,0.54655,0.95154,0.001538,0.001538,0.001538
16,4013.13,0.39449,0.39098,0.91232,0.74041,0.91554,0.91923,0.74836,0.60295,1.35638,1.08767,0.001505,0.001505,0.001505
17,4260.9,0.38068,0.38902,0.90165,0.74978,0.99884,0.96904,0.8567,0.42653,0.89923,0.95945,0.001472,0.001472,0.001472
18,4508.29,0.39253,0.36492,0.90272,0.97118,1,0.98876,0.904,0.44204,0.40604,0.9456,0.001439,0.001439,0.001439
